[residual, scale=1, rtps=0] 33200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 33400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 33600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 33800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 34000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 34200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 34400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 34600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 34800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 35000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 35200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 35400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 35600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 35800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 36000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 36200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 36400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 36600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 36800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 37000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 37200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 37400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 37600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 37800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 38000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 38200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 38400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 38600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 38800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 39000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 39200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 39400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 39600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 39800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 40000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 40200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 40400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 40600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 40800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 41000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 41200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 41400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 41600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 41800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 42000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 42200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 42400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 42600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 42800/42890, 0.072 s/frame
[all] RMSE=0.21814 CRPS=0.09601 spread/skill=0.526 cov90=0.692
[defined_blind] RMSE=0.36511 CRPS=0.16055 spread/skill=0.371 cov90=0.556
[density] spearman=+0.817 AUSE=0.228 sigma_cv=0.740
[vx] spearman=+0.415 AUSE=0.408 sigma_cv=0.560
[vy] spearman=+0.076 AUSE=0.646 sigma_cv=0.491
[var] spearman=+0.630 AUSE=0.495 sigma_cv=0.833
[out] methods/enkf/enkf_opt/experiments/outputs/fullseq7/atc-20130825_residual_s1.json
