[residual, scale=1.5, rtps=0] 37000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 37200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 37400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 37600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 37800/37964, 0.113 s/frame
[all] RMSE=0.23713 CRPS=0.10225 spread/skill=0.676 cov90=0.784
[defined_blind] RMSE=0.39320 CRPS=0.16558 spread/skill=0.492 cov90=0.691
[density] spearman=+0.806 AUSE=0.232 sigma_cv=0.760
[vx] spearman=+0.471 AUSE=0.384 sigma_cv=0.570
[vy] spearman=+0.124 AUSE=0.621 sigma_cv=0.514
[var] spearman=+0.730 AUSE=0.346 sigma_cv=0.793
[out] methods/enkf/enkf_opt/experiments/outputs/fullseq7/atc-20130929_residual_s15.json
