[gaussian, scale=1, rtps=0] 32200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 32400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 32600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 32800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 33000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 33200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 33400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 33600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 33800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 34000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 34200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 34400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 34600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 34800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 35000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 35200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 35400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 35600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 35800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 36000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 36200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 36400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 36600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 36800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 37000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 37200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 37400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 37600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 37800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 38000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 38200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 38400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 38600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 38800/38885, 0.133 s/frame
[all] RMSE=0.25513 CRPS=0.12268 spread/skill=0.591 cov90=0.767
[defined_blind] RMSE=0.37728 CRPS=0.18416 spread/skill=0.315 cov90=0.502
[density] spearman=+0.725 AUSE=0.440 sigma_cv=0.287
[vx] spearman=-0.156 AUSE=1.098 sigma_cv=0.149
[vy] spearman=-0.096 AUSE=1.058 sigma_cv=0.152
[var] spearman=+0.776 AUSE=0.317 sigma_cv=0.404
[out] methods/enkf/enkf_opt/experiments/outputs/fullseq7/atc-20130818_gaussian_s1.json
